Day of Simulation,T_atm_pole,T_atm_eq
1,6.0,26.0
2,6.172133561558347,26.086066780779174
3,6.344216116227457,26.17210805811373
4,6.516196672232538,26.25809833611627
5,6.688024268023199,26.3440121340116
6,6.859647987374465,26.429823993687233
7,7.0310169744743485,26.515508487237174
8,7.202080448993527,26.601040224496764
9,7.372787721132648,26.686393860566323
10,7.543088206642812,26.771544103321407
11,7.712931441814776,26.856465720907387
12,7.882267098432441,26.94113354921622
13,8.051044998686192,27.025522499343097
14,8.219215130041654,27.109607565020827
15,8.3867276600595,27.19336383002975
16,8.55353295116187,27.276766475580935
17,8.719581575341055,27.359790787670526
18,8.88482432880609,27.442412164403045
19,9.049212246562892,27.524606123281444
20,9.212696616923644,27.606348308461822
21,9.375228995941132,27.687614497970568
22,9.536761221763715,27.76838061088186
23,9.697245428906731,27.848622714453366
24,9.85663406243607,27.928317031218036
25,10.01487989205973,28.007439946029866
26,10.171936026123168,28.085968013061585
27,10.327755925504313,28.163877962752156
28,10.482293417404106,28.241146708702054
29,10.635502709028508,28.317751354514254
30,10.787338401157886,28.39366920057894
31,10.937755501599773,28.468877750799887
32,11.086709438521044,28.54335471926052
33,11.234156073655502,28.617078036827753
34,11.380051715382997,28.6900258576915
35,11.524353131676197,28.762176565838097
36,11.667017562911177,28.83350878145559
37,11.80800273453801,28.904001367269004
38,11.947266869607635,28.973633434803816
39,12.084768701151262,29.04238435057563
40,12.220467484408676,29.110233742204336
41,12.354323008901774,29.177161504450886
42,12.486295610349814,29.243147805174907
43,12.616346182422783,29.30817309121139
44,12.744436188329455,29.372218094164726
45,12.870527672236669,29.435263836118335
46,12.994583270516472,29.497291635258236
47,13.116566222817745,29.558283111408873
48,13.236440382959124,29.618220191479562
49,13.354170229639855,29.677085114819928
50,13.469720876965553,29.734860438482777
51,13.583058084785625,29.791529042392813
52,13.694148268839378,29.84707413441969
53,13.802958510707754,29.901479255353877
54,13.909456567567773,29.954728283783886
55,14.013610881746766,30.006805440873382
56,14.115390590073611,30.057695295036805
57,14.214765533024142,30.10738276651207
58,14.311706263658078,30.15585313182904
59,14.406184056344783,30.203092028172392
60,14.498170915275278,30.24908545763764
61,14.58763958275803,30.293819791379015
62,14.674563547295968,30.337281773647984
63,14.75891705144243,30.379458525721216
64,14.840675099433636,30.42033754971682
65,14.919813464595485,30.459906732297743
66,14.996308696522433,30.498154348261217
67,15.07013812802636,30.53506906401318
68,15.141279881853336,30.570639940926668
69,15.209712877166346,30.604856438583173
70,15.275416835791967,30.637708417895983
71,15.338372288229252,30.669186144114626
72,15.398560579418954,30.699280289709478
73,15.455963874271426,30.727981937135713
74,15.510565162951535,30.755282581475768
75,15.562348265919056,30.781174132959528
76,15.611297838723008,30.805648919361502
77,15.657399376548549,30.828699688274273
78,15.70063921851507,30.850319609257536
79,15.741004551724204,30.8705022758621
80,15.778483415056568,30.889241707528285
81,15.813064702716094,30.906532351358045
82,15.844738167520923,30.92236908376046
83,15.873494423939864,30.93674721196993
84,15.899324950873531,30.949662475436767
85,15.922222094179322,30.96111104708966
86,15.94217906893952,30.971089534469762
87,15.95918996147179,30.979594980735897
88,15.973249731081555,30.986624865540776
89,15.984354211555642,30.99217710577782
90,15.992500112396835,30.996250056198416
91,15.997685019798908,30.998842509899454
92,15.999907397361902,30.99995369868095
93,15.999166586547378,30.999583293273687
94,15.995462806873572,30.997731403436788
95,15.988797155850337,30.994398577925168
96,15.979171608653921,30.98958580432696
97,15.966589017541702,30.98329450877085
98,15.951053111006976,30.97552655550349
99,15.932568492674143,30.96628424633707
100,15.911140639934548,30.955570319967272
101,15.886775902323405,30.943387951161704
102,15.859481499638305,30.929740749819153
103,15.829265519799822,30.91463275989991
104,15.7961369164549,30.89806845822745
105,15.760105506323683,30.88005275316184
106,15.721181966290613,30.860590983145308
107,15.679377830240641,30.83968891512032
108,15.634705485641488,30.817352742820745
109,15.587178169872963,30.79358908493648
110,15.536809966304457,30.76840498315223
111,15.483615800121715,30.741807900060856
112,15.427611433904207,30.713805716952102
113,15.368813462954314,30.684406731477157
114,15.307239310379794,30.653619655189896
115,15.242907221930935,30.621453610965467
116,15.175836260593936,30.58791813029697
117,15.106046300942163,30.55302315047108
118,15.033558023246846,30.516779011623424
119,14.95839290734909,30.479196453674547
120,14.880573226294931,30.440286613147464
121,14.800122039735358,30.400061019867678
122,14.717063187093219,30.35853159354661
123,14.631421280499115,30.315710640249556
124,14.54322169749827,30.271610848749134
125,14.452490573530634,30.226245286765316
126,14.35925479418637,30.179627397093185
127,14.263541987239096,30.131770993619547
128,14.16538051445916,30.08269025722958
129,14.064799463209448,30.032399731604723
130,13.961828637826159,29.98091431891308
131,13.856498550787146,29.928249275393572
132,13.748840413670408,29.874420206835204
133,13.638886127905428,29.819443063952715
134,13.526668275320084,29.763334137660042
135,13.41222010848596,29.70611005424298
136,13.295575540864874,29.647787770432437
137,13.17676913675962,29.58838456837981
138,13.05583610107178,29.527918050535888
139,12.932812268869776,29.466406134434887
140,12.807734094770161,29.40386704738508
141,12.680638642135335,29.340319321067668
142,12.551563572090853,29.275781786045428
143,12.420547132365638,29.21027356618282
144,12.287628145958344,29.143814072979172
145,12.152845999633277,29.07642299981664
146,12.016240632249225,29.00812031612461
147,11.877852522924734,28.938926261462367
148,11.737722679043245,28.868861339521622
149,11.595892624101765,28.797946312050883
150,11.45240438540651,28.726202192703255
151,11.307300481619333,28.653650240809668
152,11.160623910158527,28.580311955079264
153,11.012418134457757,28.50620906722888
154,10.862727071086901,28.43136353554345
155,10.711595076738638,28.35579753836932
156,10.559066935084587,28.279533467542294
157,10.405187843504951,28.202593921752474
158,10.250003399695542,28.125001699847772
159,10.093559588156214,28.046779794078105
160,9.935902766564666,27.967951383282333
161,9.77707965203965,27.888539826019823
162,9.617137307297677,27.808568653648837
163,9.456123126707336,27.728061563353666
164,9.294084822245305,27.64704241112265
