Day of Simulation,T_atm_pole,T_atm_eq
1,-4.999315068493151,10.0
2,-4.826496575427955,10.086066780779174
3,-4.6537290892519945,10.172108058113729
4,-4.481063601740065,10.25809833611627
5,-4.308551074442555,10.3440121340116
6,-4.13624242358444,10.429823993687233
7,-3.9641885049777064,10.515508487237174
8,-3.792440098951678,10.601040224496764
9,-3.6210478953057086,10.686393860566325
10,-3.4500624782886953,10.771544103321405
11,-3.2795343116098814,10.856465720907387
12,-3.1095137234853665,10.941133549216222
13,-2.9400508917247667,11.025522499343095
14,-2.7711958288624547,11.109607565020827
15,-2.6029983673377592,11.19336383002975
16,-2.435508144728541,11.276766475580935
17,-2.2687745890425064,11.359790787670528
18,-2.1028469040706224,11.442412164403045
19,-1.9377740548069722,11.524606123281446
20,-1.7736047529393693,11.606348308461822
21,-1.6103874424150313,11.687614497970566
22,-1.4481702850855989,11.768380610881858
23,-1.2870011464357352,11.848622714453365
24,-1.1269275813995459,11.928317031218036
25,-0.9679968202690374,12.007439946029866
26,-0.8102557546987497,12.085968013061585
27,-0.6537509238107564,12.163877962752156
28,-0.49852850040411295,12.241146708702054
29,-0.3446342772728613,12.317751354514254
30,-0.19211365363663577,12.393669200578943
31,-0.041011621687898736,12.468877750799887
32,0.10862724674022237,12.543354719260522
33,0.25675881338153,12.61707803682775
34,0.40333938661587304,12.690025857691499
35,0.5483257344159227,12.762176565838098
36,0.6916750971577521,12.833508781455588
37,0.8333452002914339,12.904001367269004
38,0.9732942668679078,12.973633434803817
39,1.1114810299183844,13.042384350575631
40,1.2478647446826479,13.110233742204338
41,1.3824052006825962,13.177161504450886
42,1.5150627336374847,13.243147805174907
43,1.6457982372173032,13.30817309121139
44,1.7745731746308244,13.372218094164728
45,1.9013495900448882,13.435263836118335
46,2.0260901198315393,13.497291635258236
47,2.148758003639664,13.558283111408873
48,2.269317095287891,13.618220191479562
49,2.387731873475471,13.677085114819928
50,2.503967452308018,13.734860438482777
51,2.6179895916349403,13.791529042392813
52,2.729764707195542,13.847074134419689
53,2.8392598805707685,13.901479255353877
54,2.946442868937635,13.954728283783886
55,3.0512821146234783,14.006805440873382
56,3.1537467544571727,14.057695295036805
